Date,Event Name,Team 1,Team 2,Plex Name,Kodi Name,Kodi Name 2
13.05.2023,NXT Level Up #65,,,WWE.2023-05-13.NXT.Level.Up.#65.mkv,WWE.2023-05-13.NXT.Level.Up.#65.S2023E85.mkv,WWE.2023-05-13.NXT.Level.Up.#65.mkv
13.05.2023,SmackDown #1238,,,WWE.2023-05-13.SmackDown.#1238.mkv,WWE.2023-05-13.SmackDown.#1238.S2023E86.mkv,WWE.2023-05-13.SmackDown.#1238.mkv
16.05.2023,RAW #1564,,,WWE.2023-05-16.RAW.#1564.mkv,WWE.2023-05-16.RAW.#1564.S2023E87.mkv,WWE.2023-05-16.RAW.#1564.mkv
17.05.2023,NXT #681,,,WWE.2023-05-17.NXT.#681.mkv,WWE.2023-05-17.NXT.#681.S2023E88.mkv,WWE.2023-05-17.NXT.#681.mkv
20.05.2023,SmackDown #1239,,,WWE.2023-05-20.SmackDown.#1239.mkv,WWE.2023-05-20.SmackDown.#1239.S2023E89.mkv,WWE.2023-05-20.SmackDown.#1239.mkv
20.05.2023,NXT Level Up #66,,,WWE.2023-05-20.NXT.Level.Up.#66.mkv,WWE.2023-05-20.NXT.Level.Up.#66.S2023E90.mkv,WWE.2023-05-20.NXT.Level.Up.#66.mkv
23.05.2023,RAW #1565,,,WWE.2023-05-22.RAW.#1565.mkv,WWE.2023-05-22.RAW.#1565.S2023E91.mkv,WWE.2023-05-22.RAW.#1565.mkv
24.05.2023,NXT #682,,,WWE.2023-05-23.NXT.#682.mkv,WWE.2023-05-23.NXT.#682.S2023E92.mkv,WWE.2023-05-23.NXT.#682.mkv
27.05.2023,SmackDown #1240,,,WWE.2023-05-27.SmackDown.#1240.mkv,WWE.2023-05-27.SmackDown.#1240.S2023E93.mkv,WWE.2023-05-27.SmackDown.#1240.mkv
27.05.2023,NXT Level Up #67,,,WWE.2023-05-27.NXT.Level.Up.#67.mkv,WWE.2023-05-27.NXT.Level.Up.#67.S2023E94.mkv,WWE.2023-05-27.NXT.Level.Up.#67.mkv
27.05.2023,Night Of Champions,,,WWE.2023-05-27.Night.Of.Champions.mkv,WWE.2023-05-27.Night.Of.Champions.S2023E95.mkv,WWE.2023-05-27.Night.Of.Champions.mkv
29.05.2023,NXT Battleground,,,WWE.2023-05-29.NXT.Battleground.mkv,WWE.2023-05-29.NXT.Battleground.S2023E96.mkv,WWE.2023-05-29.NXT.Battleground.mkv
30.05.2023,RAW #1566,,,WWE.2023-05-30.RAW.#1566.mkv,WWE.2023-05-30.RAW.#1566.S2023E97.mkv,WWE.2023-05-30.RAW.#1566.mkv
31.05.2023,NXT #683,,,WWE.2023-05-31.NXT.#683.mkv,WWE.2023-05-31.NXT.#683.S2023E98.mkv,WWE.2023-05-31.NXT.#683.mkv
03.06.2023,SmackDown #1241,,,WWE.2023-06-02.SmackDown.#1241.mkv,WWE.2023-06-02.SmackDown.#1241.S2023E99.mkv,WWE.2023-06-02.SmackDown.#1241.mkv
03.06.2023,NXT Level Up #68,,,WWE.2023-06-03.NXT.Level.Up.#68.mkv,WWE.2023-06-03.NXT.Level.Up.#68.S2023E100.mkv,WWE.2023-06-03.NXT.Level.Up.#68.mkv
06.06.2023,RAW #1567,,,WWE.2023-06-06.RAW.#1567.mkv,WWE.2023-06-06.RAW.#1567.S2023E101.mkv,WWE.2023-06-06.RAW.#1567.mkv
07.06.2023,NXT #684,,,WWE.2023-06-07.NXT.#684.mkv,WWE.2023-06-07.NXT.#684.S2023E102.mkv,WWE.2023-06-07.NXT.#684.mkv
10.06.2023,SmackDown #1242,,,WWE.2023-06-10.SmackDown.#1242.mkv,WWE.2023-06-10.SmackDown.#1242.S2023E103.mkv,WWE.2023-06-10.SmackDown.#1242.mkv
10.06.2023,NXT Level Up #69,,,WWE.2023-06-09.NXT.Level.Up.#69.mkv,WWE.2023-06-09.NXT.Level.Up.#69.S2023E104.mkv,WWE.2023-06-09.NXT.Level.Up.#69.mkv
13.06.2023,RAW #1568,,,WWE.2023-06-13.RAW.#1568.mkv,WWE.2023-06-13.RAW.#1568.S2023E105.mkv,WWE.2023-06-13.RAW.#1568.mkv
14.06.2023,NXT #685,,,WWE.2023-06-14.NXT.#685.mkv,WWE.2023-06-14.NXT.#685.S2023E106.mkv,WWE.2023-06-14.NXT.#685.mkv
17.06.2023,SmackDown #1243,,,WWE.2023-06-17.SmackDown.#1243.mkv,WWE.2023-06-17.SmackDown.#1243.S2023E107.mkv,WWE.2023-06-17.SmackDown.#1243.mkv
20.06.2023,RAW #1569,,,WWE.2023-06-20.RAW.#1569.mkv,WWE.2023-06-20.RAW.#1569.S2023E108.mkv,WWE.2023-06-20.RAW.#1569.mkv
21.06.2023,NXT #686 Gold Rush Day 1,,,WWE.2023-06-21.NXT.#686.Gold.Rush.Day.1.mkv,WWE.2023-06-21.NXT.#686.Gold.Rush.Day.1.S2023E109.mkv,WWE.2023-06-21.NXT.#686.Gold.Rush.Day.1.mkv
24.06.2023,SmackDown #1244,,,WWE.2023-06-24.SmackDown.#1244.mkv,WWE.2023-06-24.SmackDown.#1244.S2023E110.mkv,WWE.2023-06-24.SmackDown.#1244.mkv
27.06.2023,RAW #1570,,,WWE.2023-06-27.RAW.#1570.mkv,WWE.2023-06-27.RAW.#1570.S2023E111.mkv,WWE.2023-06-27.RAW.#1570.mkv
28.06.2023,NXT #687 Gold Rush Day 2,,,WWE.2023-06-28.NXT.#687.Gold.Rush.Day.2.mkv,WWE.2023-06-28.NXT.#687.Gold.Rush.Day.2.S2023E112.mkv,WWE.2023-06-28.NXT.#687.Gold.Rush.Day.2.mkv
30.06.2023,SmackDown #1245,,,WWE.2023-06-30.SmackDown.#1245.mkv,WWE.2023-06-30.SmackDown.#1245.S2023E113.mkv,WWE.2023-06-30.SmackDown.#1245.mkv
01.07.2023,Money In The Bank,,,WWE.2023-07-01.Money.In.The.Bank.mkv,WWE.2023-07-01.Money.In.The.Bank.S2023E114.mkv,WWE.2023-07-01.Money.In.The.Bank.mkv
04.07.2023,RAW #1571,,,WWE.2023-07-04.RAW.#1571.mkv,WWE.2023-07-04.RAW.#1571.S2023E115.mkv,WWE.2023-07-04.RAW.#1571.mkv
05.07.2023,NXT #688,,,WWE.2023-07-04.NXT.#688.mkv,WWE.2023-07-04.NXT.#688.S2023E116.mkv,WWE.2023-07-04.NXT.#688.mkv
08.07.2023,SmackDown #1246,,,WWE.2023-07-08.SmackDown.#1246.mkv,WWE.2023-07-08.SmackDown.#1246.S2023E117.mkv,WWE.2023-07-08.SmackDown.#1246.mkv
11.07.2023,RAW #1572,,,WWE.2023-07-10.RAW.#1572.mkv,WWE.2023-07-10.RAW.#1572.S2023E118.mkv,WWE.2023-07-10.RAW.#1572.mkv
12.07.2023,NXT #689,,,WWE.2023-07-11.NXT.#689.mkv,WWE.2023-07-11.NXT.#689.S2023E119.mkv,WWE.2023-07-11.NXT.#689.mkv
15.07.2023,NXT Level Up #74,,,WWE.2023-07-14.NXT.Level.Up.#74.mkv,WWE.2023-07-14.NXT.Level.Up.#74.S2023E120.mkv,WWE.2023-07-14.NXT.Level.Up.#74.mkv
15.07.2023,SmackDown #1247,,,WWE.2023-07-14.SmackDown.#1247.mkv,WWE.2023-07-14.SmackDown.#1247.S2023E121.mkv,WWE.2023-07-14.SmackDown.#1247.mkv
18.07.2023,RAW #1573,,,WWE.2023-07-17.RAW.#1573.mkv,WWE.2023-07-17.RAW.#1573.S2023E122.mkv,WWE.2023-07-17.RAW.#1573.mkv
19.07.2023,NXT #690,,,WWE.2023-07-18.NXT.#690.mkv,WWE.2023-07-18.NXT.#690.S2023E123.mkv,WWE.2023-07-18.NXT.#690.mkv
22.07.2023,SmackDown #1248,,,WWE.2023-07-21.SmackDown.#1248.mkv,WWE.2023-07-21.SmackDown.#1248.S2023E124.mkv,WWE.2023-07-21.SmackDown.#1248.mkv
24.07.2023,RAW #1574,,,WWE.2023-07-24.RAW.#1574.mkv,WWE.2023-07-24.RAW.#1574.S2023E125.mkv,WWE.2023-07-24.RAW.#1574.mkv
25.07.2023,NXT #691,,,WWE.2023-07-25.NXT.#691.mkv,WWE.2023-07-25.NXT.#691.S2023E126.mkv,WWE.2023-07-25.NXT.#691.mkv
28.07.2023,SmackDown #1249,,,WWE.2023-07-28.SmackDown.#1249.mkv,WWE.2023-07-28.SmackDown.#1249.S2023E127.mkv,WWE.2023-07-28.SmackDown.#1249.mkv
30.07.2023,NXT The Great American Bash,,,WWE.2023-07-30.NXT.The.Great.American.Bash.mkv,WWE.2023-07-30.NXT.The.Great.American.Bash.S2023E128.mkv,WWE.2023-07-30.NXT.The.Great.American.Bash.mkv
05.08.2023,SummerSlam,,,WWE.2023-08-05.SummerSlam.mkv,WWE.2023-08-05.SummerSlam.S2023E129.mkv,WWE.2023-08-05.SummerSlam.mkv
02.09.2023,Payback,,,WWE.2023-09-02.Payback.mkv,WWE.2023-09-02.Payback.S2023E130.mkv,WWE.2023-09-02.Payback.mkv
07.10.2023,Fastlane,,,WWE.2023-10-07.Fastlane.mkv,WWE.2023-10-07.Fastlane.S2023E131.mkv,WWE.2023-10-07.Fastlane.mkv
